ID,nrpts,area,density,ecc,center_1,center_2
133,62,0.01825331,3396.644,0.5877585,28.22955,29.62032
134,160,0.03526133,4537.549,0.6295677,18.26502,26.91029
135,459,0.1200918,3822.075,0.7115617,20.3761,21.183
136,258,0.1034553,2493.832,0.7854168,18.6661,22.6356
137,1616,0.4242342,3809.217,0.6630499,23.32894,38.67945
138,464,0.1400528,3313.036,0.8039433,25.11279,27.74925
139,817,0.2478185,3296.767,0.7678347,35.02164,39.08361
140,76,0.03626611,2095.621,0.8146281,28.95392,36.19413
141,621,0.2465988,2518.26,0.7589456,20.56485,19.02346
142,752,0.2383325,3155.256,0.7575441,38.43647,26.79817
143,50,0.01844597,2710.62,0.759325,36.83606,17.75143
144,200,0.07422838,2694.387,0.7758794,18.99407,18.75587
146,877,0.2516963,3484.357,0.781652,28.28709,36.90661
147,86,0.03462708,2483.605,0.8707695,32.68862,31.02174
149,262,0.08901712,2943.254,0.8232211,25.71277,31.14398
150,906,0.2866073,3161.119,0.7455748,37.74048,35.69234
151,325,0.1065935,3048.966,0.7753432,29.68514,18.92724
153,82,0.02686221,3052.615,0.6563966,34.80012,24.4126
154,529,0.1527298,3463.633,0.9060301,37.0289,23.04189
156,779,0.2070552,3762.281,0.7155911,26.08216,22.38008
157,239,0.07701124,3103.443,0.8808748,19.3847,39.65509
159,160,0.05265932,3038.398,0.7110404,40.92969,25.6531
160,244,0.1077484,2264.534,0.5644462,17.38264,36.37334
161,1665,0.4344601,3832.343,0.8693733,17.9767,35.25168
162,185,0.06875812,2690.591,0.8790898,24.57136,15.36538
163,77,0.03357426,2293.423,0.4851952,32.65719,29.43802
164,1151,0.293444,3922.383,0.8928413,39.47511,27.79151
166,530,0.146989,3605.712,0.7771387,27.40678,29.93605
167,1037,0.2803613,3698.799,0.9026749,30.9925,41.74016
169,192,0.08136002,2359.881,0.8072839,18.45305,29.00347
170,131,0.0507457,2581.5,0.9350001,20.47982,28.71853
171,404,0.110781,3646.835,0.8359616,26.73757,38.54702
172,806,0.245888,3277.915,0.8457665,31.84373,41.24968
174,71,0.02658837,2670.34,0.6818426,42.11804,26.85617
175,205,0.07262371,2822.77,0.7828439,34.09851,25.36519
176,1165,0.3383621,3443.057,0.8979117,33.06967,38.68095
177,134,0.05359779,2500.103,0.76103,41.05959,21.83689
178,206,0.07247963,2842.178,0.7232257,24.47537,39.15287
